Energy (eV),EpsilonReal,EpsilonImaginary
1.5,-42.4477,104.73
1.6,-47.2054,62.5468
1.7,-30.8948,40.346
1.8,-13.4785,31.3602
1.9,2.96786,29.5638
2,19.3443,34.0357
2.1,35.4098,48.2486
2.2,41.1825,79.4953
2.3,10.9177,107.321
2.4,-15.788,99.5336
2.5,-33.0801,94.1538
2.6,-48.6258,79.8665
2.7,-53.8832,61.6146
2.8,-52.5104,49.0394
2.9,-48.5462,39.9902
3,-47.0573,36.8527
3.1,-49.8806,29.0395
3.2,-46.1997,18.8689
3.3,-39.7463,13.2489
3.4,-34.2492,10.5842
3.5,-29.7478,9.06241
3.6,-26.0923,8.3048
3.7,-22.7275,7.79278
3.8,-19.5689,8.27171
3.9,-17.1442,9.69326
4,-16.738,12.6024
4.1,-19.9427,12.6712
4.2,-20.5928,9.40884
4.3,-19.0527,6.70466
4.4,-16.5541,5.20608
4.5,-13.9437,4.83974
4.6,-11.5071,5.4819
4.7,-9.80748,7.15612
4.8,-9.18284,9.28863
4.9,-10.0952,11.7876
5,-13.4864,12.7566
5.1,-15.8574,10.2386
5.2,-15.6331,7.85391
5.3,-15.0005,6.60093
5.4,-14.6436,5.6801
5.5,-14.1653,4.50128
5.6,-13.2543,3.50224
5.7,-12.1696,3.01854
5.8,-11.3747,2.86209
5.9,-10.8033,2.80535
6,-10.4657,2.60335
