Energy (eV),EpsilonReal,EpsilonImaginary
1.5,12.365,0.313051
1.6,12.5835,0.348988
1.7,12.827,0.389171
1.8,13.0984,0.43447
1.9,13.4014,0.48598
2,13.7404,0.545105
2.1,14.1207,0.613672
2.2,14.5492,0.694103
2.3,15.0341,0.789673
2.4,15.5863,0.904925
2.5,16.2196,1.04633
2.6,16.9523,1.22345
2.7,17.8094,1.45093
2.8,18.825,1.75244
2.9,20.0476,2.16855
3,21.5468,2.77439
3.1,23.4192,3.72265
3.2,25.7652,5.35744
3.3,28.4389,8.49544
3.4,29.5928,14.3513
3.5,25.2236,19.2721
3.6,22.2353,17.1453
3.7,25.9186,16.4526
3.8,30.5942,21.6511
3.9,31.9688,30.7144
4,29.3238,44.3238
4.1,12.5365,56.7386
4.2,-8.70371,52.6028
4.3,-19.0882,39.163
4.4,-21.9411,26.3943
4.5,-18.5262,16.6408
4.6,-13.7107,11.6193
4.7,-9.082,9.55383
4.8,-5.50055,10.0608
4.9,-4.85967,12.0134
5,-6.48108,11.3891
5.1,-5.93588,8.91461
5.2,-3.84601,8.02954
5.3,-2.43826,8.79098
5.4,-3.05611,9.10484
5.5,-2.4524,7.59434
5.6,-0.457329,7.09739
5.7,2.15574,7.97647
5.8,4.29168,11.4279
5.9,2.68768,16.6502
6,-2.56261,18.5952
