Energy (eV),EpsilonReal,EpsilonImaginary
1.5,12.2929,0.312915
1.6,12.5114,0.349157
1.7,12.755,0.389786
1.8,13.0269,0.435725
1.9,13.3309,0.488151
2,13.6714,0.548586
2.1,14.0544,0.619037
2.2,14.4867,0.702202
2.3,14.9775,0.801795
2.4,15.5383,0.923075
2.5,16.1844,1.07373
2.6,16.9362,1.26544
2.7,17.8219,1.51684
2.8,18.8811,1.85934
2.9,20.1706,2.34992
3,21.7714,3.10119
3.1,23.7846,4.35958
3.2,26.2242,6.7159
3.3,28.2178,11.4629
3.4,25.3497,18.1478
3.5,18.7622,17.2997
3.6,19.6927,13.06
3.7,24.5761,12.8192
3.8,30.3864,17.0264
3.9,34.5409,26.9719
4,32.3689,41.8479
4.1,16.6747,56.9534
4.2,-6.29936,53.7587
4.3,-18.0328,41.3843
4.4,-22.4045,27.9889
4.5,-19.4202,17.237
4.6,-14.722,11.6606
4.7,-10.269,8.79024
4.8,-6.31908,7.93136
4.9,-3.22198,8.74335
5,-2.23366,11.0663
5.1,-3.95217,11.4754
5.2,-3.92704,9.74489
5.3,-2.58713,9.42563
5.4,-2.73396,10.0035
5.5,-2.82777,8.51824
5.6,-0.887145,7.73945
5.7,1.40626,8.53395
5.8,3.10303,11.4407
5.9,2.01704,15.5675
6,-2.22961,17.7475
