Energy (eV),EpsilonReal,EpsilonImaginary
1.5,12.3239,0.311762
1.6,12.5416,0.3476
1.7,12.7841,0.387691
1.8,13.0544,0.432911
1.9,13.3563,0.484365
2,13.6942,0.543472
2.1,14.0734,0.612087
2.2,14.5008,0.692672
2.3,14.9848,0.788573
2.4,15.5362,0.904449
2.5,16.1692,1.04698
2.6,16.9024,1.22607
2.7,17.7611,1.45706
2.8,18.7805,1.76494
2.9,20.0106,2.19305
3,21.5231,2.82276
3.1,23.4166,3.82203
3.2,25.7851,5.5752
3.3,28.4053,9.0014
3.4,28.9542,15.3478
3.5,23.1921,19.35
3.6,21.0732,15.8332
3.7,25.3552,15.0964
3.8,30.6302,19.9627
3.9,32.7238,29.6041
4,30.2817,43.082
4.1,14.3212,56.6308
4.2,-7.6181,53.2241
4.3,-18.6665,39.9867
4.4,-22.0271,27.1141
4.5,-18.8822,16.9657
4.6,-14.1294,11.6693
4.7,-9.53056,9.2463
4.8,-5.67995,9.19949
4.9,-3.87288,11.0772
5,-5.25631,11.8674
5.1,-5.7386,9.73577
5.2,-3.99196,8.40081
5.3,-2.47918,8.87789
5.4,-2.94546,9.37657
5.5,-2.58745,7.85017
5.6,-0.623397,7.27264
5.7,1.88663,8.06189
5.8,3.95887,11.3098
5.9,2.58056,16.2183
6,-2.33131,18.2824
