Energy (eV),EpsilonReal,EpsilonImaginary
1.5,11.9656,0.293428
1.6,12.1703,0.326818
1.7,12.3983,0.36409
1.8,12.6521,0.406033
1.9,12.9352,0.45364
2,13.2515,0.508183
2.1,13.6059,0.571316
2.2,14.0047,0.64523
2.3,14.4553,0.732887
2.4,14.9675,0.838394
2.5,15.554,0.967609
2.6,16.2313,1.12917
2.7,17.022,1.33635
2.8,17.957,1.61057
2.9,19.0804,1.98859
3,20.4553,2.53838
3.1,22.1705,3.39772
3.2,24.3246,4.87642
3.3,26.8329,7.72425
3.4,28.1431,13.334
3.5,23.2244,18.7892
3.6,19.0052,15.5845
3.7,22.1549,13.0973
3.8,27.557,15.3113
3.9,32.1386,22.8169
4,32.281,34.5197
4.1,24.3257,49.6257
4.2,2.9396,55.5941
4.3,-13.4109,45.7392
4.4,-20.477,33.2128
4.5,-20.4848,20.9041
4.6,-16.1201,13.5292
4.7,-11.5479,9.72446
4.8,-7.33745,8.28574
4.9,-3.98736,8.74113
5,-2.57422,10.8327
5.1,-4.10964,11.5349
5.2,-4.33017,9.69333
5.3,-2.84805,9.00172
5.4,-2.349,9.72884
5.5,-2.91515,8.81036
5.6,-1.31581,7.60705
5.7,0.928954,7.96493
5.8,3.12762,10.2018
5.9,3.04148,14.4377
6,-0.705751,17.5671
