Energy (eV),EpsilonReal,EpsilonImaginary
1.5,11.2411,0.253193
1.6,11.4176,0.280955
1.7,11.6134,0.311679
1.8,11.8304,0.345921
1.9,12.0713,0.384373
2,12.3389,0.427899
2.1,12.637,0.477594
2.2,12.9697,0.534871
2.3,13.3426,0.601579
2.4,13.7624,0.680184
2.5,14.2374,0.77405
2.6,14.7784,0.887878
2.7,15.3996,1.02845
2.8,16.1196,1.20588
2.9,16.9638,1.43596
3,17.9679,1.74468
3.1,19.182,2.17775
3.2,20.6782,2.82254
3.3,22.5506,3.86351
3.4,24.8531,5.72852
3.5,27.1097,9.34576
3.6,26.7258,14.8288
3.7,22.971,17.4034
3.8,22.3211,16.0883
3.9,25.4977,18.0084
4,26.8504,23.1655
4.1,28.0719,30.2688
4.2,23.7868,42.8638
4.3,7.31051,51.5953
4.4,-10.186,45.1399
4.5,-17.9839,33.2741
4.6,-18.9078,21.5054
4.7,-14.9466,13.9794
4.8,-10.3009,10.3829
4.9,-6.24492,9.73779
5,-4.3734,11.2952
5.1,-5.66503,11.6428
5.2,-5.84939,9.27874
5.3,-3.88911,7.82003
5.4,-2.0434,8.15979
5.5,-2.02048,9.10902
5.6,-2.09432,7.89179
5.7,-0.150855,7.23649
5.8,2.10276,8.07367
5.9,4.061,10.9046
6,3.25717,15.4136
