Energy (eV),EpsilonReal,EpsilonImaginary
1.5,12.0941,0.304945
1.6,12.307,0.340302
1.7,12.5444,0.379965
1.8,12.8095,0.424849
1.9,13.1058,0.476128
2,13.438,0.535327
2.1,13.8117,0.604468
2.2,14.2339,0.686291
2.3,14.7135,0.7846
2.4,15.2623,0.904836
2.5,15.8955,1.05506
2.6,16.6341,1.24772
2.7,17.5066,1.50303
2.8,18.554,1.856
2.9,19.8351,2.37196
3,21.4316,3.18482
3.1,23.4285,4.59864
3.2,25.6979,7.34338
3.3,26.6073,12.5776
3.4,22.3661,17.3034
3.5,17.5188,15.7695
3.6,18.239,11.9273
3.7,22.6133,11.1212
3.8,28.2025,13.8289
3.9,34.0414,21.3841
4,35.7692,36.5046
4.1,22.7389,54.6524
4.2,-1.54586,55.157
4.3,-14.8947,44.4425
4.4,-22.0371,31.3765
4.5,-20.4873,19.0383
4.6,-15.8626,12.4421
4.7,-11.4989,8.89216
4.8,-7.54967,7.28038
4.9,-4.20307,6.95303
5,-1.257,7.88918
5.1,0.0451402,10.5575
5.2,-1.66978,12.0498
5.3,-2.50095,11.1103
5.4,-2.53088,10.9995
5.5,-3.19508,9.67913
5.6,-1.48538,8.29233
5.7,0.757045,8.90973
5.8,2.34895,11.3747
5.9,1.51447,15.1315
6,-2.59031,17.1654
