Energy (eV),EpsilonReal,EpsilonImaginary
1.5,11.6786,0.282356
1.6,11.8756,0.314563
1.7,12.095,0.350556
1.8,12.3394,0.39112
1.9,12.6121,0.437251
2,12.917,0.490234
2.1,13.2589,0.551758
2.2,13.644,0.624086
2.3,14.0799,0.710322
2.4,14.5764,0.814843
2.5,15.1464,0.944022
2.6,15.807,1.1075
2.7,16.5818,1.32056
2.8,17.5039,1.60881
2.9,18.6206,2.0183
3,19.9996,2.6391
3.1,21.728,3.66597
3.2,23.8392,5.56105
3.3,25.7504,9.35397
3.4,24.2752,15.1251
3.5,18.6963,16.684
3.6,16.4032,13.0462
3.7,19.3311,10.4985
3.8,24.161,11.2459
3.9,29.7498,15.5694
4,34.3486,25.5567
4.1,31.4466,41.8302
4.2,13.628,54.634
4.3,-5.90536,49.4666
4.4,-17.0521,39.6686
4.5,-21.5707,25.7452
4.6,-18.0282,15.7401
4.7,-13.5633,10.6684
4.8,-9.39822,7.98423
4.9,-5.76134,6.95906
5,-2.59826,7.09089
5.1,-0.0869663,8.78962
5.2,-0.231082,11.4913
5.3,-1.96086,11.5715
5.4,-1.98984,10.9262
5.5,-2.65349,10.7493
5.6,-2.26322,8.90521
5.7,0.00310549,8.69485
5.8,1.64608,10.4709
5.9,1.79122,13.2519
6,-0.477313,16.3119
