Energy (eV),EpsilonReal,EpsilonImaginary
1.5,12.2725,0.309109
1.6,12.4882,0.344592
1.7,12.7286,0.384275
1.8,12.9966,0.429018
1.9,13.2958,0.479913
2,13.6305,0.538357
2.1,14.0062,0.606175
2.2,14.4294,0.685789
2.3,14.9085,0.78049
2.4,15.4542,0.894856
2.5,16.0805,1.03544
2.6,16.8055,1.21198
2.7,17.6544,1.4395
2.8,18.6615,1.74246
2.9,19.8761,2.16325
3,21.3686,2.78124
3.1,23.2363,3.75986
3.2,25.5746,5.47231
3.3,28.1847,8.81426
3.4,28.8568,15.0838
3.5,23.1193,19.3046
3.6,20.7221,15.7328
3.7,24.8835,14.7205
3.8,30.2634,19.1793
3.9,32.7455,28.6543
4,30.7238,41.7635
4.1,15.9518,55.9243
4.2,-6.24292,53.766
4.3,-18.0836,40.8153
4.4,-21.9411,27.9501
4.5,-19.1446,17.4358
4.6,-14.4214,11.8809
4.7,-9.81864,9.25518
4.8,-5.88289,8.98279
4.9,-3.71512,10.7002
5,-4.81533,11.9305
5.1,-5.64929,10.0461
5.2,-4.08214,8.52941
5.3,-2.51193,8.86049
5.4,-2.85957,9.46403
5.5,-2.65736,7.96644
5.6,-0.722736,7.31834
5.7,1.73736,8.02863
5.8,3.85076,11.1231
5.9,2.68495,15.9579
6,-2.09072,18.1991
