Energy (eV),EpsilonReal,EpsilonImaginary
1.5,6.76124,0.0804555
1.6,6.81707,0.0877318
1.7,6.87787,0.0954596
1.8,6.94395,0.103698
1.9,7.01568,0.112514
2,7.09346,0.121985
2.1,7.17774,0.1322
2.2,7.26906,0.143262
2.3,7.368,0.155294
2.4,7.47525,0.168436
2.5,7.59158,0.182859
2.6,7.7179,0.198763
2.7,7.85524,0.216389
2.8,8.00483,0.236032
2.9,8.16809,0.258048
3,8.34668,0.282882
3.1,8.54261,0.311085
3.2,8.75825,0.343354
3.3,8.99649,0.38058
3.4,9.26085,0.423918
3.5,9.55565,0.474892
3.6,9.88632,0.535545
3.7,10.2597,0.608678
3.8,10.6847,0.69822
3.9,11.1728,0.809835
4,11.7396,0.951966
4.1,12.4061,1.13769
4.2,13.2021,1.38823
4.3,14.1701,1.74009
4.4,15.3717,2.26073
4.5,16.8942,3.08615
4.6,18.8329,4.51857
4.7,21.0834,7.25374
4.8,22.2639,12.1926
4.9,20.5646,17.2323
5,17.6102,22.5953
5.1,9.32088,25.2281
5.2,4.37127,21.1035
5.3,4.37425,18.7528
5.4,3.53576,20.3429
5.5,-1.12307,20.9172
5.6,-6.24513,16.7123
5.7,-6.0533,10.6017
5.8,-3.3169,7.40016
5.9,-0.537434,6.18455
6,2.14765,6.31068
