Energy (eV),EpsilonReal,EpsilonImaginary
1.5,5.2237,0.0839881
1.6,5.28244,0.0947485
1.7,5.34868,0.107216
1.8,5.42364,0.121875
1.9,5.50888,0.1394
2,5.60643,0.160746
2.1,5.71897,0.187307
2.2,5.85018,0.221186
2.3,6.00511,0.265673
2.4,6.19098,0.326147
2.5,6.41831,0.411877
2.6,6.70278,0.539866
2.7,7.06781,0.743763
2.8,7.54579,1.09643
2.9,8.1609,1.77142
3,8.77495,3.19687
3.1,8.19652,5.96994
3.2,4.16042,7.35088
3.3,1.7195,4.56191
3.4,2.00873,2.45275
3.5,2.70883,1.47377
3.6,3.31562,1.00443
3.7,3.80877,0.760655
3.8,4.22345,0.628206
3.9,4.59065,0.557885
4,4.93323,0.527149
4.1,5.26882,0.525855
4.2,5.61258,0.55083
4.3,5.97956,0.604236
4.4,6.3869,0.694413
4.5,6.85627,0.839954
4.6,7.41557,1.0808
4.7,8.09145,1.50647
4.8,8.85059,2.31271
4.9,9.29879,3.82122
5,8.39517,5.20723
5.1,8.1038,5.18638
5.2,8.89469,6.58478
5.3,7.52465,9.70789
5.4,3.42668,10.4117
5.5,0.453839,7.77768
5.6,0.711801,4.80211
5.7,2.14653,3.54803
5.8,3.57367,3.5946
5.9,4.33098,4.89869
6,2.87393,6.31001
