Energy (eV),EpsilonReal,EpsilonImaginary
1.5,12.2353,0.305455
1.6,12.4485,0.340291
1.7,12.6858,0.379184
1.8,12.9502,0.422951
1.9,13.2451,0.472622
2,13.5747,0.529509
2.1,13.944,0.595312
2.2,14.3596,0.672274
2.3,14.8291,0.763408
2.4,15.3628,0.87286
2.5,15.9735,1.00649
2.6,16.6782,1.17285
2.7,17.4998,1.38488
2.8,18.4696,1.66317
2.9,19.6315,2.04232
3,21.0486,2.58488
3.1,22.8098,3.41441
3.2,25.021,4.80131
3.3,27.662,7.38495
3.4,29.6249,12.3673
3.5,27.1309,18.2596
3.6,22.9647,18.2169
3.7,25.1548,16.7945
3.8,29.7249,20.9541
3.9,31.3439,29.3417
4,29.6546,41.7765
4.1,15.1802,54.7292
4.2,-5.39833,53.3512
4.3,-17.6744,40.8395
4.4,-21.5618,28.2617
4.5,-19.003,17.769
4.6,-14.2463,12.1652
4.7,-9.54128,9.75025
4.8,-5.79014,10.0102
4.9,-4.85041,11.9343
5,-6.44066,11.5471
5.1,-6.10241,9.06299
5.2,-4.03501,8.00375
5.3,-2.49412,8.64103
5.4,-2.9854,9.13066
5.5,-2.56155,7.63613
5.6,-0.624053,7.03852
5.7,1.95366,7.72853
5.8,4.32445,10.9007
5.9,3.19717,16.3149
6,-2.10689,18.6417
