Energy (eV),EpsilonReal,EpsilonImaginary
1.5,12.3917,0.314209
1.6,12.611,0.350281
1.7,12.8553,0.390615
1.8,13.1278,0.436081
1.9,13.4319,0.487778
2,13.7721,0.547112
2.1,14.1538,0.615912
2.2,14.5838,0.6966
2.3,15.0705,0.792453
2.4,15.6247,0.908006
2.5,16.2601,1.04972
2.6,16.9953,1.22711
2.7,17.8549,1.45474
2.8,18.8733,1.75611
2.9,20.0987,2.17138
3,21.6006,2.77471
3.1,23.4753,3.71642
3.2,25.8237,5.33408
3.3,28.5082,8.42536
3.4,29.7555,14.1594
3.5,25.8177,19.1646
3.6,22.7526,17.5793
3.7,26.2123,17.0265
3.8,30.5849,22.3813
3.9,31.7758,31.2369
4,28.8687,45.0822
4.1,11.5645,56.8843
4.2,-9.36107,52.2232
4.3,-19.3372,38.7187
4.4,-21.9195,25.9687
4.5,-18.3416,16.4344
4.6,-13.4969,11.5712
4.7,-8.87381,9.69123
4.8,-5.47581,10.4448
4.9,-5.34037,12.2585
5,-6.85445,11.1011
5.1,-5.9284,8.63114
5.2,-3.76758,7.9248
5.3,-2.43195,8.78892
5.4,-3.10286,8.99352
5.5,-2.39101,7.49986
5.6,-0.374244,7.03719
5.7,2.28024,7.9772
5.8,4.41177,11.5343
5.9,2.66979,16.859
6,-2.71141,18.7151
