Energy (eV),EpsilonReal,EpsilonImaginary
1.5,6.73618,0.0868072
1.6,6.79649,0.0951275
1.7,6.86251,0.104086
1.8,6.93469,0.113783
1.9,7.01355,0.124338
2,7.09969,0.135896
2.1,7.19382,0.148631
2.2,7.29677,0.162759
2.3,7.40952,0.178547
2.4,7.53326,0.196332
2.5,7.66938,0.216545
2.6,7.81961,0.239748
2.7,7.98608,0.266681
2.8,8.17141,0.298347
2.9,8.37897,0.336132
3,8.61307,0.382002
3.1,8.87941,0.438838
3.2,9.18562,0.51101
3.3,9.54228,0.605437
3.4,9.96431,0.733637
3.5,10.4734,0.915974
3.6,11.1017,1.19119
3.7,11.8945,1.63972
3.8,12.9012,2.44572
3.9,14.0579,4.05866
4,14.4389,7.30497
4.1,11.2445,10.7995
4.2,6.42195,9.94451
4.3,4.93879,6.26255
4.4,6.1098,3.94485
4.5,7.69149,3.02459
4.6,9.27176,2.84357
4.7,10.9092,3.21722
4.8,12.6531,4.34617
4.9,14.0109,6.8666
5,12.6855,10.1532
5.1,10.5654,9.82995
5.2,11.6315,10.0191
5.3,11.357,12.7786
5.4,9.14492,14.1937
5.5,6.61883,14.3056
5.6,5.52567,12.6864
5.7,6.87249,12.2604
5.8,7.1843,14.8067
5.9,5.0704,17.3016
6,0.111278,18.1382
