Energy (eV),EpsilonReal,EpsilonImaginary
1.5,-20.2667,4.36403
1.6,-17.7291,3.59155
1.7,-15.6176,2.9917
1.8,-13.8422,2.51865
1.9,-12.3355,2.14049
2,-11.0459,1.83451
2.1,-9.93384,1.58425
2.2,-8.96821,1.37756
2.3,-8.12444,1.20534
2.4,-7.38291,1.0607
2.5,-6.72778,0.93832
2.6,-6.14614,0.834074
2.7,-5.62743,0.744722
2.8,-5.16289,0.667695
2.9,-4.74525,0.600939
3,-4.36841,0.542796
3.1,-4.02723,0.491921
3.2,-3.71736,0.447211
3.3,-3.43508,0.407761
3.4,-3.17722,0.372819
3.5,-2.94103,0.341759
3.6,-2.72417,0.314056
3.7,-2.52458,0.289268
3.8,-2.34047,0.267023
3.9,-2.17029,0.247002
4,-2.01266,0.228933
4.1,-1.86639,0.212586
4.2,-1.7304,0.197758
4.3,-1.60376,0.184279
4.4,-1.48564,0.171997
4.5,-1.37527,0.160783
4.6,-1.272,0.150524
4.7,-1.17524,0.141119
4.8,-1.08444,0.132482
4.9,-0.999136,0.124536
5,-0.918882,0.117213
5.1,-0.843291,0.110453
5.2,-0.772009,0.104204
5.3,-0.704714,0.0984172
5.4,-0.641114,0.0930513
5.5,-0.580944,0.0880687
5.6,-0.523962,0.0834357
5.7,-0.469946,0.0791223
5.8,-0.418694,0.0751012
5.9,-0.37002,0.0713483
6,-0.323755,0.0678414
