Energy (eV),EpsilonReal,EpsilonImaginary
1.5,3.13647,15.989
1.6,2.25323,15.6755
1.7,0.674522,14.9698
1.8,-0.645253,13.2232
1.9,-0.973374,11.1877
2,-0.307842,9.48392
2.1,0.742179,9.03449
2.2,0.955065,9.01674
2.3,1.27953,8.98096
2.4,0.896783,9.79268
2.5,-0.802309,9.21059
2.6,-0.874294,7.56211
2.7,-0.413236,6.93193
2.8,-0.144461,6.51716
2.9,0.190003,6.33005
3,0.0340597,6.38438
3.1,-0.231612,5.75573
3.2,0.377381,5.09882
3.3,1.07704,5.63616
3.4,0.324268,6.26173
3.5,-0.379164,5.54283
3.6,-0.174203,4.90384
3.7,-0.0269008,4.87272
3.8,-0.403635,4.56995
3.9,-0.346332,3.73706
4,0.396915,3.22636
4.1,1.19811,3.39086
4.2,1.63071,4.29401
4.3,0.586844,5.17857
4.4,-0.575643,4.31201
4.5,-0.475035,3.24735
4.6,-0.0483892,2.60231
4.7,0.63016,2.26544
4.8,1.24531,2.47596
4.9,1.24235,2.86254
5,1.02155,2.75102
5.1,1.0453,2.3389
5.2,1.47491,1.92767
5.3,2.11697,1.85271
5.4,2.66227,2.02101
5.5,3.24486,2.26876
5.6,3.81038,2.87558
5.7,4.10216,3.71628
5.8,4.06165,4.76831
5.9,3.24616,5.78181
6,2.24195,5.7611
