Energy (eV),EpsilonReal,EpsilonImaginary
1.5,9.82226,0.195157
1.6,9.95824,0.216034
1.7,10.1086,0.239042
1.8,10.275,0.264582
1.9,10.459,0.29315
2,10.6629,0.325373
2.1,10.8893,0.362049
2.2,11.1413,0.404213
2.3,11.4228,0.453237
2.4,11.7387,0.510975
2.5,12.0951,0.579996
2.6,12.5,0.663969
2.7,12.9638,0.768316
2.8,13.5007,0.901386
2.9,14.1303,1.07669
3,14.8801,1.31748
3.1,15.7902,1.66679
3.2,16.9167,2.21181
3.3,18.3237,3.14805
3.4,19.9672,4.94603
3.5,20.9339,8.47558
3.6,18.4212,12.2415
3.7,15.2921,12.4927
3.8,12.8531,11.1014
3.9,13.48,8.13905
4,16.4767,7.09981
4.1,20.2115,8.03151
4.2,24.5019,11.236
4.3,28.3873,18.5439
4.4,26.0448,30.6871
4.5,15.4422,36.8661
4.6,7.11797,39.1259
4.7,-5.56665,38.6259
4.8,-15.0806,28.7706
4.9,-15.5765,17.7073
5,-12.1304,11.3955
5.1,-8.50465,7.96877
5.2,-5.08966,6.29736
5.3,-2.11786,5.79147
5.4,0.625204,6.0088
5.5,3.40416,7.48826
5.6,4.89779,11.1229
5.7,2.57513,14.7263
5.8,-1.13635,14.8593
5.9,-2.72643,12.7404
6,-2.67462,11.0727
