Energy (eV),EpsilonReal,EpsilonImaginary
1.5,0.516085,15.5479
1.6,0.858055,16.7029
1.7,-1.62974,16.4901
1.8,-3.58922,15.8877
1.9,-6.0812,13.0155
2,-5.47046,9.84175
2.1,-3.57782,8.79665
2.2,-3.16714,10.3725
2.3,-6.1698,10.1969
2.4,-7.08474,7.19418
2.5,-6.47465,5.3089
2.6,-5.72615,3.74079
2.7,-4.4822,2.71628
2.8,-3.2475,2.37173
2.9,-2.28106,2.60922
3,-2.0658,3.14061
3.1,-2.25394,3.17061
3.2,-2.55372,2.85662
3.3,-2.33195,2.07545
3.4,-1.61977,1.70748
3.5,-0.920629,1.83258
3.6,-0.58222,2.28583
3.7,-0.516765,2.69519
3.8,-0.879331,3.18847
3.9,-1.54379,2.99092
4,-1.67284,2.43275
4.1,-1.36044,2.151
4.2,-1.24996,2.30618
4.3,-1.3455,2.3603
4.4,-1.69972,2.47589
4.5,-2.21289,2.01688
4.6,-2.19148,1.35745
4.7,-1.94247,0.963416
4.8,-1.72034,0.699901
4.9,-1.47623,0.495992
5,-1.24062,0.373388
5.1,-1.03853,0.299054
5.2,-0.866606,0.249678
5.3,-0.718244,0.214364
5.4,-0.588212,0.187733
5.5,-0.472725,0.166863
5.6,-0.369029,0.150027
5.7,-0.275074,0.136141
5.8,-0.189297,0.124483
5.9,-0.110479,0.114558
6,-0.0376476,0.10601
