Energy (eV),EpsilonReal,EpsilonImaginary
1.5,-31.1557,6.56401
1.6,-27.3341,5.40858
1.7,-24.1514,4.50957
1.8,-21.4733,3.79946
1.9,-19.199,3.23105
2,-17.2515,2.77065
2.1,-15.5713,2.39376
2.2,-14.1118,2.08225
2.3,-12.836,1.82254
2.4,-11.7146,1.60429
2.5,-10.7235,1.41955
2.6,-9.84339,1.26211
2.7,-9.05835,1.12713
2.8,-8.35519,1.01072
2.9,-7.72292,0.909807
3,-7.15234,0.821893
3.1,-6.63569,0.744949
3.2,-6.16639,0.677318
3.3,-5.73883,0.617631
3.4,-5.34822,0.564756
3.5,-4.99042,0.517748
3.6,-4.66187,0.475815
3.7,-4.35946,0.438291
3.8,-4.08049,0.40461
3.9,-3.82261,0.374295
4,-3.58375,0.346933
4.1,-3.36207,0.322175
4.2,-3.15598,0.299717
4.3,-2.96404,0.2793
4.4,-2.785,0.260695
4.5,-2.61771,0.243707
4.6,-2.46118,0.228164
4.7,-2.3145,0.213915
4.8,-2.17687,0.200828
4.9,-2.04755,0.188787
5,-1.92589,0.17769
5.1,-1.8113,0.167446
5.2,-1.70323,0.157975
5.3,-1.60121,0.149205
5.4,-1.50479,0.141072
5.5,-1.41357,0.13352
5.6,-1.32718,0.126498
5.7,-1.24528,0.119959
5.8,-1.16758,0.113864
5.9,-1.09378,0.108175
6,-1.02363,0.102859
