Energy (eV),EpsilonReal,EpsilonImaginary
1.5,1.69327,0.00164435
1.6,1.69441,0.00176206
1.7,1.69562,0.00188142
1.8,1.69692,0.00200255
1.9,1.69829,0.00212559
2,1.69975,0.00225068
2.1,1.70129,0.00237796
2.2,1.70292,0.00250759
2.3,1.70463,0.00263972
2.4,1.70644,0.00277452
2.5,1.70833,0.00291218
2.6,1.71032,0.00305287
2.7,1.7124,0.0031968
2.8,1.71458,0.00334417
2.9,1.71685,0.0034952
3,1.71923,0.00365013
3.1,1.72172,0.0038092
3.2,1.72431,0.00397269
3.3,1.72701,0.00414086
3.4,1.72983,0.00431403
3.5,1.73276,0.00449251
3.6,1.73581,0.00467665
3.7,1.73899,0.00486682
3.8,1.7423,0.00506342
3.9,1.74573,0.00526686
4,1.74931,0.00547762
4.1,1.75303,0.00569619
4.2,1.7569,0.00592311
4.3,1.76092,0.00615895
4.4,1.7651,0.00640436
4.5,1.76945,0.00666002
4.6,1.77398,0.00692667
4.7,1.77868,0.00720513
4.8,1.78357,0.00749629
4.9,1.78866,0.00780114
5,1.79396,0.00812075
5.1,1.79948,0.00845628
5.2,1.80522,0.00880906
5.3,1.81121,0.00918051
5.4,1.81745,0.00957223
5.5,1.82396,0.00998599
5.6,1.83075,0.0104238
5.7,1.83783,0.0108878
5.8,1.84524,0.0113804
5.9,1.85298,0.0119046
6,1.86109,0.0124633
