Energy (eV),EpsilonReal,EpsilonImaginary
1.5,10.9344,4.04213
1.6,11.3949,7.72877
1.7,7.22456,12.8442
1.8,-0.266615,10.7811
1.9,-1.60968,5.76186
2,-0.609614,3.14641
2.1,0.442126,1.92376
2.2,1.26482,1.29947
2.3,1.89838,0.950586
2.4,2.40171,0.742396
2.5,2.81825,0.613363
2.6,3.17785,0.53301
2.7,3.50151,0.485423
2.8,3.80494,0.462273
2.9,4.10101,0.459748
3,4.40149,0.47733
3.1,4.71862,0.517719
3.2,5.06673,0.587911
3.3,5.46443,0.70215
3.4,5.93751,0.889018
3.5,6.52187,1.20907
3.6,7.25735,1.80198
3.7,8.10755,3.01374
3.8,8.40332,5.56338
3.9,5.42887,8.57767
4,1.31116,6.72282
4.1,1.09352,3.82909
4.2,2.08965,2.48167
4.3,3.14859,2.02027
4.4,4.15847,2.09332
4.5,5.07892,2.67663
4.6,5.79635,3.92834
4.7,5.29103,6.07065
4.8,3.20323,6.84916
4.9,1.44064,6.82007
5,-0.516985,5.35645
5.1,-0.583977,3.19451
5.2,0.249566,2.00636
5.3,1.09743,1.46422
5.4,1.85405,1.23372
5.5,2.56168,1.18972
5.6,3.27511,1.31719
5.7,4.03286,1.69997
5.8,4.74257,2.58857
5.9,4.65386,4.1718
6,3.16563,4.9032
