Energy (eV),EpsilonReal,EpsilonImaginary
1.5,11.7544,0.280644
1.6,11.9502,0.312166
1.7,12.1679,0.347242
1.8,12.4099,0.386574
1.9,12.6792,0.43104
2,12.9796,0.481754
2.1,13.3155,0.540151
2.2,13.6922,0.608107
2.3,14.1167,0.688129
2.4,14.5974,0.783638
2.5,15.1453,0.899419
2.6,15.7746,1.04238
2.7,16.5045,1.22283
2.8,17.3607,1.45691
2.9,18.3794,1.77118
3,19.612,2.21238
3.1,21.1323,2.86984
3.2,23.0385,3.9318
3.3,25.401,5.8368
3.4,27.8114,9.60284
3.5,27.3031,15.9438
3.6,21.6042,18.0894
3.7,21.2213,14.8649
3.8,25.7108,15.494
3.9,29.7122,21.4499
4,30.4614,30.1194
4.1,27.2016,43.1811
4.2,10.5957,54.2897
4.3,-9.02645,48.9648
4.4,-18.3186,36.6331
4.5,-20.6243,24.1648
4.6,-16.985,15.3165
4.7,-12.3448,10.7705
4.8,-7.93334,9.00755
4.9,-4.55126,9.554
5,-3.79609,11.5299
5.1,-5.38338,11.1701
5.2,-4.89162,8.95924
5.3,-3.01636,8.33046
5.4,-2.07787,9.19229
5.5,-2.75812,8.83641
5.6,-1.50339,7.47738
5.7,0.678372,7.58471
5.8,3.05354,9.32537
5.9,3.80561,13.422
6,0.72698,17.397
