Energy (eV),EpsilonReal,EpsilonImaginary
1.5,1.66793,0.00152785
1.6,1.66898,0.00163703
1.7,1.67011,0.0017477
1.8,1.67131,0.00185998
1.9,1.67259,0.00197398
2,1.67394,0.00208983
2.1,1.67538,0.00220766
2.2,1.67689,0.00232761
2.3,1.67848,0.00244983
2.4,1.68015,0.00257445
2.5,1.68191,0.00270165
2.6,1.68375,0.00283159
2.7,1.68568,0.00296445
2.8,1.6877,0.0031004
2.9,1.68981,0.00323966
3,1.69202,0.00338242
3.1,1.69432,0.00352891
3.2,1.69672,0.00367937
3.3,1.69922,0.00383404
3.4,1.70183,0.0039932
3.5,1.70454,0.00415712
3.6,1.70737,0.00432612
3.7,1.71031,0.00450053
3.8,1.71336,0.00468069
3.9,1.71654,0.00486698
4,1.71985,0.00505981
4.1,1.72328,0.00525961
4.2,1.72685,0.00546687
4.3,1.73057,0.00568209
4.4,1.73442,0.00590584
4.5,1.73843,0.0061387
4.6,1.7426,0.00638134
4.7,1.74693,0.00663448
4.8,1.75144,0.00689889
4.9,1.75612,0.00717542
5,1.761,0.00746501
5.1,1.76607,0.0077687
5.2,1.77134,0.0080876
5.3,1.77684,0.00842296
5.4,1.78256,0.00877617
5.5,1.78852,0.00914876
5.6,1.79474,0.00954242
5.7,1.80123,0.00995904
5.8,1.808,0.0104007
5.9,1.81507,0.0108699
6,1.82247,0.0113692
