Energy (eV),EpsilonReal,EpsilonImaginary
1.5,11.9751,0.294017
1.6,12.1803,0.327494
1.7,12.4087,0.364869
1.8,12.6631,0.406935
1.9,12.9467,0.45469
2,13.2638,0.509415
2.1,13.6191,0.572774
2.2,14.0189,0.646973
2.3,14.4707,0.734999
2.4,14.9845,0.840994
2.5,15.5728,0.97087
2.6,16.2524,1.13336
2.7,17.046,1.34189
2.8,17.9849,1.61818
2.9,19.1133,1.99955
3,20.4953,2.5552
3.1,22.22,3.42581
3.2,24.3854,4.92862
3.3,26.8928,7.83164
3.4,28.1058,13.5274
3.5,22.9969,18.8173
3.6,18.9667,15.4568
3.7,22.2159,13.0462
3.8,27.6407,15.3209
3.9,32.2429,22.8933
4,32.3478,34.7363
4.1,24.1463,49.9088
4.2,2.60502,55.5884
4.3,-13.5743,45.5968
4.4,-20.5624,33.0558
4.5,-20.4658,20.7708
4.6,-16.0811,13.4581
4.7,-11.5133,9.68293
4.8,-7.31221,8.2573
4.9,-3.96485,8.70852
5,-2.52539,10.8007
5.1,-4.05181,11.5482
5.2,-4.30411,9.72741
5.3,-2.84142,9.03261
5.4,-2.36277,9.7514
5.5,-2.92007,8.80892
5.6,-1.30698,7.61432
5.7,0.940264,7.98419
5.8,3.12726,10.2436
5.9,3.00322,14.4807
6,-0.767917,17.5698
