Energy (eV),EpsilonReal,EpsilonImaginary
1.5,10.811,0.234557
1.6,10.9745,0.26001
1.7,11.1556,0.288118
1.8,11.3562,0.319375
1.9,11.5785,0.354392
2,11.8252,0.393928
2.1,12.0994,0.438948
2.2,12.4051,0.49069
2.3,12.747,0.550767
2.4,13.1311,0.621328
2.5,13.5648,0.705294
2.6,14.0575,0.806735
2.7,14.6216,0.93149
2.8,15.2734,1.08825
2.9,16.035,1.29048
3,16.9373,1.56022
3.1,18.0238,1.93587
3.2,19.3573,2.4899
3.3,21.0232,3.37299
3.4,23.0975,4.93218
3.5,25.3444,7.99366
3.6,25.5752,13.5476
3.7,20.4488,16.6187
3.8,18.7495,13.3806
3.9,22.5162,12.3915
4,27.7195,15.9062
4.1,31.4074,25.0344
4.2,27.7214,38.7028
4.3,13.4769,47.908
4.4,-2.06889,46.1295
4.5,-13.2093,38.0843
4.6,-18.6198,26.9633
4.7,-17.1927,16.7538
4.8,-13.0148,10.886
4.9,-8.74086,8.09175
5,-5.13957,7.15566
5.1,-2.05573,7.40406
5.2,0.120964,9.3746
5.3,-0.658939,11.6545
5.4,-2.12461,11.2743
5.5,-2.22487,10.7101
5.6,-2.90062,9.70232
5.7,-1.55743,7.94781
5.8,0.84354,8.10968
5.9,3.01164,10.0896
6,3.05064,14.4603
