Energy (eV),EpsilonReal,EpsilonImaginary
1.5,12.5483,0.323469
1.6,12.7741,0.360884
1.7,13.0259,0.402794
1.8,13.3069,0.450132
1.9,13.6209,0.504077
2,13.9725,0.566148
2.1,14.3677,0.63833
2.2,14.8135,0.723269
2.3,15.319,0.824565
2.4,15.8957,0.947246
2.5,16.5588,1.09855
2.6,17.3283,1.28924
2.7,18.2314,1.53607
2.8,19.3061,1.86648
2.9,20.6061,2.32847
3,22.209,3.01298
3.1,24.2186,4.11003
3.2,26.7176,6.05871
3.3,29.3417,9.87893
3.4,29.2744,16.4245
3.5,23.7348,19.4986
3.6,22.7277,16.4829
3.7,27.379,17.0726
3.8,31.7627,23.6149
3.9,32.6039,33.6804
4,27.3787,49.0009
4.1,7.03982,58.4567
4.2,-12.9018,50.1928
4.3,-20.7688,36.4863
4.4,-21.9491,23.7304
4.5,-17.686,15.2218
4.6,-12.8426,10.9593
4.7,-8.32489,9.46787
4.8,-5.14536,10.477
4.9,-5.28908,12.2598
5,-6.75733,10.9354
5.1,-5.6767,8.57506
5.2,-3.56468,8.05538
5.3,-2.47539,9.02915
5.4,-3.22778,8.89124
5.5,-2.25685,7.43465
5.6,-0.153074,7.0918
5.7,2.55079,8.30922
5.8,4.34948,12.234
5.9,1.95716,17.3292
6,-3.39848,18.573
