Energy (eV),EpsilonReal,EpsilonImaginary
1.5,-1820.76,516.629
1.6,-1634.61,421.1
1.7,-1456.93,330.511
1.8,-1299.3,273.373
1.9,-1169.58,226.43
2,-1051.87,190.467
2.1,-954.341,168.598
2.2,-876.181,144.435
2.3,-800.983,120.558
2.4,-732.031,104.239
2.5,-672.118,93.4092
2.6,-620.833,84.6153
2.7,-575.343,77.5515
2.8,-537.099,72.3678
2.9,-504.554,64.0523
3,-471.847,54.9583
3.1,-440.379,48.1912
3.2,-411.368,43.6654
3.3,-385.221,41.119
3.4,-363.081,40.1144
3.5,-345.075,37.5639
3.6,-327.018,33.2419
3.7,-309.311,30.2891
3.8,-293.627,27.7017
3.9,-278.468,24.8298
4,-263.966,22.8725
4.1,-250.647,21.4553
4.2,-238.426,20.669
4.3,-227.901,19.7921
4.4,-217.535,18.2989
4.5,-207.363,17.8325
4.6,-198.969,18.155
4.7,-192.207,17.5937
4.8,-185.7,15.6282
4.9,-178.342,13.5578
5,-171.038,12.0722
5.1,-164.035,10.931
5.2,-157.396,10.0838
5.3,-151.176,9.48893
5.4,-145.464,9.01569
5.5,-140.147,8.47203
5.6,-134.998,7.91628
5.7,-130.063,7.49004
5.8,-125.373,7.19065
5.9,-121.01,7.02548
6,-116.955,6.8628
