Energy (eV),EpsilonReal,EpsilonImaginary
1.5,13.2286,0.388268
1.6,13.5002,0.437521
1.7,13.8062,0.494094
1.8,14.1517,0.559888
1.9,14.5433,0.637489
2,14.9893,0.730504
2.1,15.5006,0.844128
2.2,16.0916,0.986116
2.3,16.782,1.16857
2.4,17.5989,1.41138
2.5,18.5813,1.74946
2.6,19.7852,2.24908
2.7,21.2876,3.04857
2.8,23.1574,4.46739
2.9,25.1841,7.26901
3,25.3799,12.3993
3.1,20.8525,15.4077
3.2,18.9283,14.4011
3.3,17.1509,14.652
3.4,16.4226,11.6261
3.5,19.8103,9.72304
3.6,24.6872,10.5628
3.7,30.5122,14.3401
3.8,36.8012,23.2407
3.9,38.0303,41.5493
4,19.2701,60.4994
4.1,-5.06521,57.2751
4.2,-20.6008,45.7589
4.3,-25.7307,28.1447
4.4,-21.1687,16.7096
4.5,-16.1554,11.3122
4.6,-12.0221,8.19061
4.7,-8.35353,6.55287
4.8,-5.26368,5.80573
4.9,-2.31531,5.68125
5,0.61624,6.52956
5.1,3.17892,9.06095
5.2,3.05116,13.5365
5.3,-1.06838,15.5437
5.4,-4.02044,13.0472
5.5,-2.97438,10.6215
5.6,-1.31505,10.6638
5.7,-0.366271,12.1676
5.8,-1.12959,14.4794
5.9,-4.29641,15.4968
6,-6.30114,14.2824
