Energy (eV),EpsilonReal,EpsilonImaginary
1.5,15.219,0.512022
1.6,15.5777,0.580508
1.7,15.9842,0.660153
1.8,16.4465,0.754061
1.9,16.9747,0.866534
2,17.5819,1.00371
2.1,18.2855,1.17464
2.2,19.1089,1.39324
2.3,20.0845,1.68196
2.4,21.2586,2.07916
2.5,22.698,2.65532
2.6,24.4982,3.5517
2.7,26.7767,5.08112
2.8,29.5281,7.99934
2.9,31.5738,13.9414
3,27.3445,22.2082
3.1,17.8268,21.326
3.2,16.8603,14.6192
3.3,21.3117,11.7902
3.4,27.1063,12.6808
3.5,33.6507,17.3414
3.6,39.3342,28.0963
3.7,37.4349,45.3678
3.8,23.3003,61.1081
3.9,-1.1903,66.134
4,-22.1303,53.2924
4.1,-29.1579,34.076
4.2,-24.9177,20.0302
4.3,-18.6396,13.4026
4.4,-13.6599,10.4189
4.5,-9.40348,9.08625
4.6,-5.84958,9.7827
4.7,-4.99162,12.2458
4.8,-7.19717,12.0429
4.9,-6.8969,9.18508
5,-4.5334,8.08759
5.1,-2.66623,8.91287
5.2,-3.01482,10.2699
5.3,-3.48688,9.07294
5.4,-1.88213,8.42699
5.5,-0.244408,9.41808
5.6,0.395675,10.9637
5.7,1.04131,13.3683
5.8,-1.19905,17.3505
5.9,-6.62829,18.0086
6,-10.5587,14.6233
