Energy (eV),EpsilonReal,EpsilonImaginary
1.5,12.1037,0.302089
1.6,12.3145,0.336773
1.7,12.5495,0.375574
1.8,12.8114,0.419345
1.9,13.1038,0.469166
2,13.431,0.526428
2.1,13.7984,0.592955
2.2,14.2123,0.671179
2.3,14.6813,0.764424
2.4,15.2157,0.877352
2.5,15.8297,1.0167
2.6,16.5415,1.19257
2.7,17.3764,1.42081
2.8,18.3695,1.7276
2.9,19.5712,2.15928
3,21.0535,2.80476
3.1,22.9132,3.85217
3.2,25.2206,5.74197
3.3,27.5811,9.51604
3.4,26.9463,16.0969
3.5,20.2228,18.3346
3.6,18.8791,13.9122
3.7,23.0989,12.5393
3.8,28.7668,15.5677
3.9,33.6085,24.0473
4,33.084,37.8157
4.1,21.2902,53.552
4.2,-1.66321,55.0642
4.3,-15.5937,43.7408
4.4,-21.5842,30.8997
4.5,-20.1322,19.0878
4.6,-15.5573,12.5642
4.7,-11.0561,9.16232
4.8,-6.98375,7.90172
4.9,-3.67826,8.29738
5,-1.91392,10.3734
5.1,-3.27214,11.6995
5.2,-3.94493,10.1933
5.3,-2.76042,9.456
5.4,-2.55907,10.0395
5.5,-2.96872,8.79088
5.6,-1.18523,7.7247
5.7,1.09063,8.26459
5.8,3.08839,10.8215
5.9,2.45762,15.0426
6,-1.59079,17.5849
