Energy (eV),EpsilonReal,EpsilonImaginary
1.5,12.0718,0.301684
1.6,12.2823,0.336429
1.7,12.5171,0.375333
1.8,12.7788,0.419268
1.9,13.0712,0.469341
2,13.3986,0.526982
2.1,13.7664,0.594076
2.2,14.1812,0.67315
2.3,14.6515,0.767682
2.4,15.1883,0.882583
2.5,15.8059,1.02502
2.6,16.5235,1.20586
2.7,17.3674,1.44239
2.8,18.3747,1.76365
2.9,19.5983,2.22212
3,21.1144,2.92096
3.1,23.0189,4.08463
3.2,25.3381,6.24879
3.3,27.3428,10.6015
3.4,25.1471,17.0472
3.5,18.5773,17.3112
3.6,18.2818,12.8864
3.7,22.576,11.7014
3.8,28.1611,14.4346
3.9,33.4761,22.234
4,34.0467,36.0519
4.1,23.3609,52.5257
4.2,0.0244022,55.5278
4.3,-14.4436,44.8946
4.4,-21.5706,32.0357
4.5,-20.492,19.6314
4.6,-15.89,12.8159
4.7,-11.4472,9.22281
4.8,-7.38779,7.70186
4.9,-3.97988,7.72071
5,-1.53624,9.36821
5.1,-2.0173,11.6198
5.2,-3.45388,10.8937
5.3,-2.74666,9.83254
5.4,-2.37071,10.2753
5.5,-2.99064,9.24395
5.6,-1.34389,7.98296
5.7,0.874953,8.54564
5.8,2.60758,10.9129
5.9,2.17311,14.6297
6,-1.45838,17.3926
