Energy (eV),EpsilonReal,EpsilonImaginary
1.5,11.8562,0.289459
1.6,12.0582,0.322449
1.7,12.2831,0.359297
1.8,12.5336,0.400794
1.9,12.813,0.447941
2,13.1254,0.502021
2.1,13.4756,0.564714
2.2,13.8697,0.638253
2.3,14.3155,0.725681
2.4,14.8227,0.831248
2.5,15.4042,0.961069
2.6,16.0769,1.12427
2.7,16.8639,1.33507
2.8,17.7972,1.61681
2.9,18.9227,2.01039
3,20.3062,2.59345
3.1,22.0373,3.52809
3.2,24.1952,5.18929
3.3,26.5225,8.47377
3.4,26.6572,14.4927
3.5,20.7373,18.0703
3.6,17.7319,14.1782
3.7,21.0145,11.745
3.8,26.2991,13.2894
3.9,31.8529,19.4603
4,34.0912,31.6592
4.1,27.1444,47.6277
4.2,6.13364,55.8149
4.3,-11.0132,47.1662
4.4,-19.7095,35.3347
4.5,-21.0015,22.3242
4.6,-16.849,14.1418
4.7,-12.3687,9.85952
4.8,-8.18609,7.86884
4.9,-4.64325,7.51588
5,-1.82767,8.65413
5.1,-1.31655,11.1496
5.2,-3.03261,11.3473
5.3,-2.89366,10.0628
5.4,-2.26775,10.2164
5.5,-2.99689,9.58864
5.6,-1.71058,8.03009
5.7,0.544762,8.26762
5.8,2.54151,10.2622
5.9,2.59407,14.0157
6,-0.671202,17.1233
