Energy (eV),EpsilonReal,EpsilonImaginary
1.5,12.0058,0.296565
1.6,12.2128,0.33046
1.7,12.4433,0.368338
1.8,12.7001,0.411016
1.9,12.9867,0.459528
2,13.3072,0.5152
2.1,13.6666,0.579766
2.2,14.0713,0.655532
2.3,14.5292,0.745635
2.4,15.0504,0.854451
2.5,15.6482,0.988271
2.6,16.3401,1.15646
2.7,17.1497,1.37359
2.8,18.1103,1.66349
2.9,19.2688,2.06779
3,20.6929,2.66516
3.1,22.4756,3.61914
3.2,24.7022,5.30663
3.3,27.1381,8.63402
3.4,27.4404,14.8333
3.5,21.2976,18.5847
3.6,18.6297,14.4936
3.7,22.3653,12.5137
3.8,27.9179,14.9391
3.9,33.0134,22.6539
4,33.275,35.8427
4.1,23.2545,51.5269
4.2,0.982433,55.381
4.3,-14.1697,44.9278
4.4,-20.9316,32.3918
4.5,-20.43,20.1905
4.6,-15.9956,13.1064
4.7,-11.4767,9.40183
4.8,-7.34289,7.92382
4.9,-3.94939,8.11737
5,-1.86004,9.99467
5.1,-2.89045,11.7137
5.2,-3.89387,10.4453
5.3,-2.85655,9.50673
5.4,-2.48452,10.0335
5.5,-3.01678,8.94365
5.6,-1.34436,7.73136
5.7,0.922146,8.14517
5.8,3.04217,10.4995
5.9,2.685,14.7511
6,-1.2593,17.4972
