Energy (eV),EpsilonReal,EpsilonImaginary
1.5,11.9685,0.298801
1.6,12.1771,0.333372
1.7,12.4097,0.372139
1.8,12.6693,0.415995
1.9,12.9594,0.466084
2,13.2846,0.523895
2.1,13.6503,0.591401
2.2,14.0633,0.671279
2.3,14.5324,0.767249
2.4,15.069,0.88464
2.5,15.688,1.03135
2.6,16.4098,1.21962
2.7,17.2626,1.46934
2.8,18.2863,1.81503
2.9,19.5385,2.32127
3,21.0994,3.12072
3.1,23.0516,4.51515
3.2,25.2635,7.22947
3.3,26.1017,12.4042
3.4,21.8504,17.0349
3.5,16.933,15.5997
3.6,17.2999,11.63
3.7,21.3818,10.4574
3.8,26.6712,12.5136
3.9,32.4653,18.738
4,35.6248,31.7916
4.1,27.1608,49.7902
4.2,4.25512,55.8678
4.3,-11.3908,46.9057
4.4,-20.9499,34.8715
4.5,-21.2301,21.1748
4.6,-16.6464,13.494
4.7,-12.2698,9.48611
4.8,-8.24696,7.48248
4.9,-4.78864,6.88887
5,-1.74094,7.48368
5.1,0.156716,9.81636
5.2,-1.06864,11.941
5.3,-2.28102,11.2501
5.4,-2.12892,10.9971
5.5,-2.98631,10.2933
5.6,-1.78379,8.61574
5.7,0.440909,9.07253
5.8,1.72889,11.1913
5.9,1.37302,14.1568
6,-1.7844,16.6578
