Energy (eV),EpsilonReal,EpsilonImaginary
1.5,-75.612,74.0222
1.6,-58.0107,46.2979
1.7,-38.8189,33.8629
1.8,-21.4825,28.9717
1.9,-5.16398,29.073
2,11.2203,34.8478
2.1,26.7135,50.7784
2.2,28.183,83.1786
2.3,-5.30311,101.987
2.4,-23.1643,90.5124
2.5,-35.6916,88.8926
2.6,-51.4992,77.9247
2.7,-58.6068,60.2029
2.8,-57.8223,45.809
2.9,-52.3458,33.7884
3,-44.6507,28.5866
3.1,-40.3898,29.1234
3.2,-43.7584,27.3339
3.3,-43.2798,18.9355
3.4,-38.2859,13.4228
3.5,-33.2459,10.6912
3.6,-28.9615,9.65846
3.7,-25.4664,9.1299
3.8,-21.9289,9.69309
3.9,-19.8864,12.0797
4,-21.5971,14.306
4.1,-23.9337,11.8586
4.2,-23.1978,8.68203
4.3,-21.13,6.28955
4.4,-18.4467,5.03115
4.5,-15.7554,4.71252
4.6,-13.1105,5.22928
4.7,-10.6752,7.00889
4.8,-9.84379,10.5501
4.9,-12.6688,13.664
5,-16.9205,12.6289
5.1,-18.2003,9.04499
5.2,-17.0509,6.5674
5.3,-15.564,5.48157
5.4,-14.4758,5.22949
5.5,-13.9489,5.33211
5.6,-14.307,4.8467
5.7,-13.7682,3.56532
5.8,-12.6736,3.0255
5.9,-11.972,2.90559
6,-11.3624,2.66171
