Energy (eV),EpsilonReal,EpsilonImaginary
1.5,16.5425,0.749279
1.6,17.0692,0.881289
1.7,17.6882,1.04903
1.8,18.4239,1.26942
1.9,19.3111,1.57132
2,20.4003,2.00744
2.1,21.7648,2.68257
2.2,23.4983,3.82627
2.3,25.6279,5.99046
2.4,27.4318,10.4406
2.5,24.6762,17.3506
2.6,17.0044,17.1604
2.7,16.5586,13.1602
2.8,18.4272,14.0829
2.9,15.3929,16.4539
3,12.6591,12.5131
3.1,15.2611,9.08114
3.2,19.3699,8.32478
3.3,24.0485,9.54278
3.4,29.4125,13.1304
3.5,34.7368,21.008
3.6,35.2189,34.2437
3.7,29.0364,47.9403
3.8,10.5622,60.738
3.9,-12.2824,54.042
4,-22.6692,38.6968
4.1,-22.2742,25.5312
4.2,-19.8838,18.4427
4.3,-17.1415,12.7104
4.4,-13.6049,8.8626
4.5,-10.0927,6.69902
4.6,-7.05427,5.57247
4.7,-4.27017,5.06308
4.8,-1.60131,5.15154
4.9,1.00197,6.02269
5,3.41101,8.00126
5.1,4.33488,11.8692
5.2,1.91001,14.3925
5.3,0.763777,15.2136
5.4,-1.75921,16.5459
5.5,-4.11171,15.3128
5.6,-4.27898,14.5906
5.7,-6.22417,15.1852
5.8,-7.86059,13.1282
5.9,-8.4717,12.6001
6,-10.6123,10.2388
