Energy (eV),EpsilonReal,EpsilonImaginary
1.5,11.9682,0.293591
1.6,12.1731,0.327005
1.7,12.4011,0.364305
1.8,12.6551,0.406282
1.9,12.9384,0.45393
2,13.2549,0.508524
2.1,13.6096,0.571719
2.2,14.0086,0.645711
2.3,14.4595,0.73347
2.4,14.9722,0.839112
2.5,15.5592,0.968509
2.6,16.2372,1.13033
2.7,17.0286,1.33788
2.8,17.9647,1.61267
2.9,19.0895,1.99161
3,20.4664,2.54301
3.1,22.1842,3.40545
3.2,24.3414,4.89076
3.3,26.8495,7.75373
3.4,28.1334,13.3874
3.5,23.1614,18.7979
3.6,18.994,15.549
3.7,22.1717,13.0829
3.8,27.5801,15.3138
3.9,32.1675,22.8379
4,32.2997,34.5794
4.1,24.2765,49.7042
4.2,2.84685,55.593
4.3,-13.4563,45.6998
4.4,-20.5007,33.1694
4.5,-20.4796,20.8671
4.6,-16.1093,13.5095
4.7,-11.5383,9.71293
4.8,-7.33045,8.27784
4.9,-3.98111,8.73208
5,-2.56066,10.8238
5.1,-4.09364,11.5386
5.2,-4.32297,9.70275
5.3,-2.84621,9.01026
5.4,-2.3528,9.7351
5.5,-2.91653,8.80996
5.6,-1.31337,7.60905
5.7,0.932084,7.97024
5.8,3.12755,10.2134
5.9,3.03093,14.4496
6,-0.722969,17.5679
