Energy (eV),EpsilonReal,EpsilonImaginary
1.5,17.6661,0.669451
1.6,18.1354,0.761011
1.7,18.6688,0.867681
1.8,19.277,0.993527
1.9,19.9737,1.14408
2,20.7764,1.32708
2.1,21.7079,1.55359
2.2,22.7989,1.84009
2.3,24.0909,2.21202
2.4,25.6418,2.71075
2.5,27.5343,3.40779
2.6,29.8866,4.43687
2.7,32.8602,6.07293
2.8,36.5951,8.94026
2.9,40.6286,14.452
3,41.359,23.6577
3.1,35.9645,29.2162
3.2,36.2789,29.1023
3.3,42.5876,37.3965
3.4,39.9733,57.2979
3.5,18.9987,73.0356
3.6,-6.63014,67.9014
3.7,-17.5319,56.7939
3.8,-28.8007,45.7194
3.9,-30.9118,28.5336
4,-24.9808,17.8934
4.1,-18.9321,12.8187
4.2,-13.5213,10.6325
4.3,-9.16841,11.1515
4.4,-8.03896,13.6356
4.5,-10.0423,13.5407
4.6,-10.4885,10.6473
4.7,-8.39036,8.43496
4.8,-5.93174,8.49573
4.9,-5.82677,9.86464
5,-6.87732,8.3427
5.1,-5.2031,6.25647
5.2,-2.4706,5.77395
5.3,0.442865,6.84239
5.4,2.89221,10.0728
5.5,2.1508,15.5621
5.6,-3.05433,18.2558
5.7,-7.42841,17.5057
5.8,-11.527,14.4432
5.9,-11.7049,9.55784
6,-9.48995,7.29343
