Energy (eV),EpsilonReal,EpsilonImaginary
1.5,67.1033,9.72193
1.6,73.8448,13.0337
1.7,82.6608,18.2959
1.8,94.3158,27.3931
1.9,109.013,44.7971
2,120.918,80.0998
2.1,102.839,132.971
2.2,47.5097,160.604
2.3,-4.97982,144.079
2.4,-24.1574,115.676
2.5,-27.6028,95.3799
2.6,-27.9749,95.473
2.7,-52.4691,90.2712
2.8,-62.5537,60.8033
2.9,-52.8162,42.2847
3,-45.7169,37.2778
3.1,-45.2246,32.2488
3.2,-44.4118,24.3876
3.3,-39.8911,16.3936
3.4,-33.6982,11.8727
3.5,-28.2053,10.1085
3.6,-24.4398,10.2546
3.7,-23.2424,9.96749
3.8,-21.374,8.02308
3.9,-18.4688,7.23534
4,-16.5592,8.00172
4.1,-16.6736,7.96037
4.2,-15.924,6.37891
4.3,-14.1162,5.32374
4.4,-12.3847,5.28837
4.5,-11.5377,5.42416
4.6,-10.5618,4.98019
4.7,-9.42681,4.99063
4.8,-8.40999,4.71373
4.9,-6.57513,4.82315
5,-4.63976,6.33931
5.1,-4.32321,9.43982
5.2,-6.57478,11.4017
5.3,-9.35405,11.6889
5.4,-11.4317,9.32952
5.5,-10.8513,7.44968
5.6,-10.4299,6.99493
5.7,-10.4937,6.34779
5.8,-10.2337,5.63902
5.9,-10.0153,5.37456
6,-10.1746,4.90112
