iteration,score,V3S,V8S,V11S,epsilon_score,epsilon_real_rms,epsilon_imag_rms,epsilon_points
0,2.163232293592615,-0.22607133459569456,0.05586356613933252,0.07279338611319648,2.163232293592615,10.419156919705312,10.38096327138375,46.0
1,2.163232293592615,-0.22607133459569456,0.05586356613933252,0.07279338611319648,2.163232293592615,10.419156919705312,10.38096327138375,46.0
2,6.536966110584355,0.7739286654043054,0.05586356613933252,0.07279338611319648,6.536966110584355,18.40817148889598,17.74361387919137,46.0
3,5.22290106184432,-1.8441053345956946,0.05586356613933252,0.07279338611319648,5.22290106184432,15.959251472866947,16.35825169785042,46.0
