Energy (eV),EpsilonReal,EpsilonImaginary
1.5,12.1,0.301882
1.6,12.3107,0.336536
1.7,12.5455,0.375303
1.8,12.8072,0.419032
1.9,13.0994,0.468804
2,13.4264,0.526007
2.1,13.7934,0.592459
2.2,14.2071,0.67059
2.3,14.6756,0.763717
2.4,15.2096,0.876489
2.5,15.8229,1.01563
2.6,16.534,1.19121
2.7,17.3679,1.41901
2.8,18.3598,1.72516
2.9,19.5598,2.15578
3,21.0399,2.79938
3.1,22.8967,3.84312
3.2,25.2012,5.72489
3.3,27.5657,9.48146
3.4,26.9692,16.0513
3.5,20.2596,18.3485
3.6,18.8674,13.9324
3.7,23.0711,12.5369
3.8,28.7353,15.5428
3.9,33.5876,23.994
4,33.0929,37.741
4.1,21.3685,53.479
4.2,-1.56732,55.0811
4.3,-15.5429,43.7853
4.4,-21.5626,30.9557
4.5,-20.1443,19.127
4.6,-15.5735,12.5834
4.7,-11.0715,9.17064
4.8,-6.9969,7.90212
4.9,-3.68797,8.29015
5,-1.91063,10.3594
5.1,-3.25826,11.7014
5.2,-3.94388,10.2025
5.3,-2.76398,9.4574
5.4,-2.55607,10.0395
5.5,-2.97083,8.79641
5.6,-1.19109,7.72472
5.7,1.08442,8.25987
5.8,3.08721,10.8095
5.9,2.46615,15.0321
6,-1.57851,17.5817
