Energy (eV),EpsilonReal,EpsilonImaginary
1.5,12.0686,0.300104
1.6,12.2781,0.334504
1.7,12.5114,0.372972
1.8,12.7715,0.416349
1.9,13.0618,0.465698
2,13.3866,0.522386
2.1,13.7511,0.588205
2.2,14.1617,0.66554
2.3,14.6267,0.757647
2.4,15.1564,0.869085
2.5,15.7645,1.00643
2.6,16.4691,1.1795
2.7,17.2949,1.40368
2.8,18.2762,1.7043
2.9,19.4622,2.12592
3,20.9234,2.75364
3.1,22.7552,3.76636
3.2,25.0343,5.58064
3.3,27.4294,9.1892
3.4,27.1525,15.6526
3.5,20.5879,18.4545
3.6,18.7739,14.1109
3.7,22.8335,12.521
3.8,28.4636,15.3336
3.9,33.4036,23.5395
4,33.1641,37.1019
4.1,22.0264,52.8416
4.2,-0.732341,55.211
4.3,-15.099,44.168
4.4,-21.3677,31.4368
4.5,-20.2457,19.4707
4.6,-15.7137,12.7519
4.7,-11.2054,9.24422
4.8,-7.11088,7.90689
4.9,-3.77288,8.22954
5,-1.88644,10.2386
5.1,-3.13745,11.7131
5.2,-3.93223,10.2821
5.3,-2.79472,9.471
5.4,-2.5309,10.0388
5.5,-2.98803,8.84457
5.6,-1.24176,7.72562
5.7,1.03072,8.22008
5.8,3.07534,10.7058
5.9,2.53944,14.9406
6,-1.47258,17.5539
