Energy (eV),EpsilonReal,EpsilonImaginary
1.5,24.8088,1.71661
1.6,26.0153,2.11086
1.7,27.4922,2.65806
1.8,29.334,3.45952
1.9,31.6783,4.71742
2,34.7034,6.87585
2.1,38.4645,11.0033
2.2,41.6237,19.5579
2.3,36.4027,33.3664
2.4,18.7449,36.2417
2.5,10.4783,24.1549
2.6,13.9589,15.4508
2.7,19.9336,12.4256
2.8,26.3029,12.8836
2.9,32.9932,16.7901
3,38.2189,26.1897
3.1,34.2482,38.4856
3.2,28.3502,40.8213
3.3,30.3394,46.1905
3.4,29.2789,65.177
3.5,-2.4199,85.8176
3.6,-37.9051,62.65
3.7,-38.9908,34.2902
3.8,-30.6507,20.3316
3.9,-22.8097,14.0958
4,-16.5022,11.7604
4.1,-11.9312,11.9471
4.2,-9.82209,14.1192
4.3,-12.1346,14.9668
4.4,-13.2558,11.2171
4.5,-10.8935,8.04576
4.6,-7.70263,7.04694
4.7,-4.99625,7.76495
4.8,-3.53296,9.90318
4.9,-5.07042,11.6892
5,-6.21026,10.5629
5.1,-6.20431,9.48739
5.2,-5.28599,8.03958
5.3,-2.81335,7.64575
5.4,0.014561,9.79983
5.5,0.252759,15.3227
5.6,-6.36546,19.1789
5.7,-12.3178,14.8733
5.8,-12.412,10.2744
5.9,-11.2819,7.90182
6,-10.3541,6.68639
