Energy (eV),EpsilonReal,EpsilonImaginary
1.5,7.10118,0.0902062
1.6,7.16379,0.098487
1.7,7.23207,0.107308
1.8,7.30639,0.116743
1.9,7.38718,0.126874
2,7.47493,0.137798
2.1,7.5702,0.149626
2.2,7.67362,0.162489
2.3,7.78592,0.17654
2.4,7.90794,0.191963
2.5,8.04063,0.208973
2.6,8.18512,0.227834
2.7,8.3427,0.24886
2.8,8.51492,0.272442
2.9,8.70357,0.299056
3,8.9108,0.329303
3.1,9.13918,0.363937
3.2,9.39181,0.403925
3.3,9.67251,0.450522
3.4,9.98594,0.505382
3.5,10.338,0.570728
3.6,10.7361,0.649602
3.7,11.1898,0.746279
3.8,11.7117,0.866917
3.9,12.3187,1.02069
4,13.0336,1.22181
4.1,13.8888,1.4933
4.2,14.9303,1.8747
4.3,16.2252,2.43891
4.4,17.8675,3.3326
4.5,19.9545,4.87825
4.6,22.3474,7.76687
4.7,23.9565,12.6196
4.8,23.799,19.3911
4.9,18.0132,27.7661
5,6.35111,28.222
5.1,1.96748,21.3287
5.2,3.22639,19.1373
5.3,1.72113,19.5502
5.4,-0.330262,19.7127
5.5,-5.45629,17.5215
5.6,-6.05362,11.4367
5.7,-3.38994,8.06746
5.8,-0.419654,6.8977
5.9,2.38224,7.5502
6,3.8536,10.1101
