Energy (eV),EpsilonReal,EpsilonImaginary
1.5,-4.19594,46.4984
1.6,-12.3017,29.7048
1.7,-7.44755,17.5552
1.8,-1.05726,11.8178
1.9,4.57603,9.12604
2,9.56158,7.97112
2.1,14.2789,7.82119
2.2,19.104,8.63163
2.3,24.3716,10.8196
2.4,30.0387,15.6471
2.5,33.4429,25.2982
2.6,27.8992,34.1332
2.7,26.2515,34.3329
2.8,30.283,43.6372
2.9,22.1404,60.998
3,-1.00821,69.1004
3.1,-21.1728,57.0556
3.2,-27.8591,44.9184
3.3,-33.1047,31.2188
3.4,-29.3076,18.5852
3.5,-23.1803,12.1485
3.6,-17.9981,9.23403
3.7,-14.3565,7.99003
3.8,-11.6938,6.8173
3.9,-8.93825,5.85935
4,-6.02715,5.51725
4.1,-3.08402,6.07223
4.2,-0.388902,7.98232
4.3,0.575735,11.561
4.4,-1.39945,14.3708
4.5,-4.50221,14.4786
4.6,-5.19795,12.9816
4.7,-6.20256,12.7225
4.8,-6.69479,10.3411
4.9,-4.38573,9.19246
5,-2.55274,11.3314
5.1,-4.95173,13.8252
5.2,-7.07102,11.8567
5.3,-6.10425,11.3183
5.4,-7.44114,12.4033
5.5,-8.8618,11.1794
5.6,-10.1872,10.7377
5.7,-11.805,7.95524
5.8,-10.8053,5.10372
5.9,-9.05125,3.71146
6,-7.41901,3.24706
