Energy (eV),EpsilonReal,EpsilonImaginary
1.5,0.860959,16.3325
1.6,1.58742,17.0686
1.7,-1.30254,17.747
1.8,-4.05397,16.511
1.9,-6.29295,13.4914
2,-5.97109,10.0576
2.1,-3.89094,8.57446
2.2,-2.82956,10.0217
2.3,-5.6587,10.6953
2.4,-7.17351,7.78153
2.5,-6.72441,5.68096
2.6,-6.02781,3.97089
2.7,-4.77047,2.82545
2.8,-3.50118,2.3972
2.9,-2.47247,2.55527
3,-2.13867,3.09558
3.1,-2.31652,3.16219
3.2,-2.58615,2.94274
3.3,-2.50449,2.16324
3.4,-1.83656,1.69107
3.5,-1.11508,1.70239
3.6,-0.666481,2.0947
3.7,-0.549659,2.45192
3.8,-0.635386,3.00363
3.9,-1.39726,3.07848
4,-1.63536,2.52154
4.1,-1.46968,2.1444
4.2,-1.22022,2.15843
4.3,-1.29528,2.19706
4.4,-1.29513,2.29174
4.5,-1.83583,2.35236
4.6,-2.17681,1.69569
4.7,-2.00525,1.15727
4.8,-1.77367,0.864368
4.9,-1.57835,0.626935
5,-1.3443,0.446674
5.1,-1.12444,0.341443
5.2,-0.936467,0.276769
5.3,-0.775776,0.233147
5.4,-0.636307,0.201577
5.5,-0.513423,0.177557
5.6,-0.403765,0.158602
5.7,-0.304878,0.14323
5.8,-0.214924,0.130498
5.9,-0.132492,0.119777
6,-0.056475,0.11063
