Energy (eV),EpsilonReal,EpsilonImaginary
1.5,12.1494,0.304451
1.6,12.3619,0.339459
1.7,12.5987,0.378635
1.8,12.8628,0.422847
1.9,13.1577,0.47319
2,13.4878,0.53108
2.1,13.8583,0.598369
2.2,14.2761,0.677536
2.3,14.7495,0.77197
2.4,15.2893,0.886426
2.5,15.9096,1.02779
2.6,16.6292,1.2064
2.7,17.4738,1.43851
2.8,18.4793,1.75103
2.9,19.6968,2.19174
3,21.2003,2.8526
3.1,23.0876,3.92898
3.2,25.4255,5.87986
3.3,27.7752,9.78692
3.4,26.8864,16.4917
3.5,20.0031,18.3055
3.6,19.0693,13.8188
3.7,23.4504,12.6854
3.8,29.1267,16.0285
3.9,33.6148,24.8457
4,32.713,38.4159
4.1,20.6034,54.1209
4.2,-2.56543,54.9761
4.3,-16.1413,43.3248
4.4,-21.807,30.3202
4.5,-19.9795,18.6932
4.6,-15.346,12.3969
4.7,-10.8425,9.13633
4.8,-6.78388,8.01235
4.9,-3.55599,8.61299
5,-2.23027,10.8229
5.1,-3.83788,11.5611
5.2,-4.05627,9.82339
5.3,-2.6897,9.28838
5.4,-2.54638,9.95455
5.5,-2.90142,8.68421
5.6,-1.08789,7.69752
5.7,1.18246,8.29772
5.8,3.10799,10.9208
5.9,2.43518,15.0779
6,-1.58722,17.6589
