Energy (eV),EpsilonReal,EpsilonImaginary
1.5,6.95172,0.0858577
1.6,7.01131,0.0936903
1.7,7.07625,0.102024
1.8,7.1469,0.110924
1.9,7.22365,0.120468
2,7.30695,0.130743
2.1,7.39732,0.141851
2.2,7.49534,0.15391
2.3,7.60168,0.16706
2.4,7.7171,0.181464
2.5,7.84249,0.197318
2.6,7.97887,0.214858
2.7,8.12743,0.234365
2.8,8.28954,0.256185
2.9,8.46685,0.280744
3,8.66129,0.30857
3.1,8.87518,0.340327
3.2,9.11129,0.376861
3.3,9.37301,0.419262
3.4,9.66451,0.46896
3.5,9.99096,0.527863
3.6,10.3589,0.598562
3.7,10.7767,0.684665
3.8,11.2552,0.791319
3.9,11.8089,0.926103
4,12.4574,1.10059
4.1,13.2279,1.33322
4.2,14.1591,1.65506
4.3,15.3073,2.12191
4.4,16.7531,2.84266
4.5,18.5992,4.05112
4.6,20.8669,6.28696
4.7,22.8108,10.55
4.8,22.1036,16.224
4.9,19.7157,21.4645
5,12.6492,26.6279
5.1,4.82895,23.6765
5.2,3.68176,19.5957
5.3,3.91791,20.0814
5.4,0.474378,21.1842
5.5,-4.96025,19.2388
5.6,-6.9709,12.8176
5.7,-4.64262,8.44645
5.8,-1.75588,6.62283
5.9,1.03901,6.24864
6,3.5151,7.40895
