Energy (eV),EpsilonReal,EpsilonImaginary
1.5,23.5465,1.53531
1.6,24.6262,1.87279
1.7,25.9388,2.33358
1.8,27.5626,2.99457
1.9,29.6125,4.00449
2,32.248,5.67864
2.1,35.6075,8.75413
2.2,39.1947,15.0165
2.3,38.4712,26.9274
2.4,24.8375,35.699
2.5,11.4857,28.1718
2.6,11.417,17.3875
2.7,16.6002,12.4975
2.8,22.4977,11.555
2.9,28.7287,13.5323
3,34.9602,19.4956
3.1,36.8909,31.1748
3.2,29.5623,38.7129
3.3,28.5818,40.6365
3.4,30.9698,51.2724
3.5,19.3261,75.7387
3.6,-22.7798,77.3966
3.7,-39.7539,45.8256
3.8,-33.996,25.4639
3.9,-25.8163,16.1564
4,-18.962,12.0792
4.1,-13.6911,10.8345
4.2,-9.83443,11.3231
4.3,-8.37508,13.8349
4.4,-11.1001,14.0568
4.5,-11.5047,10.229
4.6,-8.79046,7.77839
4.7,-5.75253,7.61768
4.8,-3.6465,9.14775
4.9,-3.96495,11.5979
5,-5.83409,11.295
5.1,-6.19611,10.2225
5.2,-5.88936,8.60152
5.3,-3.76347,7.52156
5.4,-0.826759,8.67689
5.5,0.811948,13.0441
5.6,-3.34466,18.4474
5.7,-10.7187,16.7953
5.8,-12.3124,11.4408
5.9,-11.2357,8.78514
6,-10.4803,7.41718
