Energy (eV),EpsilonReal,EpsilonImaginary
1.5,13.1336,0.374422
1.6,13.3954,0.420767
1.7,13.6895,0.473627
1.8,14.0205,0.534596
1.9,14.3941,0.605794
2,14.8177,0.690119
2.1,15.3005,0.791623
2.2,15.8546,0.916168
2.3,16.496,1.07255
2.4,17.2468,1.27455
2.5,18.1376,1.54504
2.6,19.2121,1.92445
2.7,20.5331,2.4905
2.8,22.1849,3.40774
2.9,24.2274,5.06059
3,26.3075,8.34425
3.1,25.8682,13.8956
3.2,21.3066,16.3555
3.3,18.5543,15.9505
3.4,16.8666,13.2357
3.5,19.7129,10.6289
3.6,24.65,11.0389
3.7,30.6225,14.6304
3.8,37.1178,23.4315
3.9,38.9935,41.9356
4,19.3962,62.9023
4.1,-7.09762,57.3253
4.2,-20.2259,44.7348
4.3,-25.2544,28.6551
4.4,-21.225,17.148
4.5,-16.2372,11.5558
4.6,-11.9886,8.37863
4.7,-8.19738,6.79487
4.8,-4.99014,6.20113
4.9,-1.92735,6.4044
5,0.875853,8.04191
5.1,1.80862,11.5443
5.2,-0.727344,13.6712
5.3,-2.77853,13.0521
5.4,-3.9631,11.1549
5.5,-2.52104,9.28142
5.6,-0.382,9.61703
5.7,0.906203,11.7789
5.8,-0.0165614,14.7817
5.9,-3.55976,16.2481
6,-6.22282,15.1101
