Energy (eV),EpsilonReal,EpsilonImaginary
1.5,-5.36548,6.84534
1.6,-4.69257,5.64696
1.7,-4.80467,5.32331
1.8,-5.21097,4.19564
1.9,-4.90767,3.05581
2,-4.49821,2.21175
2.1,-3.95543,1.50902
2.2,-3.36386,1.05646
2.3,-2.84609,0.789494
2.4,-2.41975,0.621137
2.5,-2.06768,0.505821
2.6,-1.77274,0.421905
2.7,-1.52213,0.358167
2.8,-1.30655,0.308221
2.9,-1.11918,0.268142
3,-0.954915,0.235378
3.1,-0.809808,0.208188
3.2,-0.680792,0.18534
3.3,-0.565425,0.165939
3.4,-0.461739,0.149316
3.5,-0.368129,0.134961
3.6,-0.283269,0.122478
3.7,-0.206055,0.111558
3.8,-0.135558,0.101952
3.9,-0.0709942,0.0934592
4,-0.0116925,0.0859171
4.1,0.0429214,0.0791915
4.2,0.0933433,0.0731712
4.3,0.140003,0.0677631
4.4,0.183276,0.0628892
4.5,0.223489,0.0584834
4.6,0.260931,0.0544894
4.7,0.295857,0.050859
4.8,0.328491,0.0475509
4.9,0.359034,0.0445294
5,0.387664,0.0417634
5.1,0.41454,0.0392262
5.2,0.439805,0.036894
5.3,0.463588,0.0347462
5.4,0.486004,0.0327648
5.5,0.507157,0.0309336
5.6,0.527142,0.0292386
5.7,0.546045,0.0276671
5.8,0.563944,0.0262079
5.9,0.580909,0.024851
6,0.597006,0.0235876
