Energy (eV),EpsilonReal,EpsilonImaginary
1.5,12.4088,0.316164
1.6,12.6295,0.352594
1.7,12.8755,0.393367
1.8,13.1499,0.439379
1.9,13.4563,0.491765
2,13.7994,0.55198
2.1,14.1846,0.621927
2.2,14.6189,0.704136
2.3,15.1109,0.802047
2.4,15.6718,0.920455
2.5,16.316,1.06624
2.6,17.0628,1.24963
2.7,17.9381,1.48648
2.8,18.9781,1.80267
2.9,20.2342,2.24322
3,21.7803,2.89294
3.1,23.717,3.92766
3.2,26.1352,5.75127
3.3,28.7652,9.32165
3.4,29.0941,15.7721
3.5,23.3534,19.4115
3.6,21.6772,16.0373
3.7,26.1312,15.778
3.8,31.1529,21.3112
3.9,32.6726,31.1433
4,29.3851,45.3075
4.1,11.5765,57.555
4.2,-9.76549,52.1952
4.3,-19.5363,38.6428
4.4,-22.0798,25.7796
4.5,-18.4377,16.25
4.6,-13.6447,11.3595
4.7,-9.06241,9.27821
4.8,-5.39831,9.62155
4.9,-4.2845,11.6418
5,-5.92027,11.621
5.1,-5.78834,9.25125
5.2,-3.83313,8.23184
5.3,-2.44974,8.92509
5.4,-3.0729,9.20993
5.5,-2.46527,7.67694
5.6,-0.454016,7.19952
5.7,2.13649,8.13573
5.8,4.12309,11.6388
5.9,2.37645,16.6452
6,-2.73228,18.4048
