Energy (eV),EpsilonReal,EpsilonImaginary
1.5,-17.0764,32.8057
1.6,-11.6566,19.2782
1.7,-4.68901,12.8127
1.8,1.34274,9.68348
1.9,6.55573,8.20509
2,11.3459,7.7464
2.1,16.0914,8.1649
2.2,21.1411,9.70267
2.3,26.6786,13.2318
2.4,31.5261,20.7785
2.5,29.2518,31.6586
2.6,23.1687,33.0167
2.7,26.7228,35.7272
2.8,26.2067,48.4422
2.9,15.3923,61.9433
3,-8.61774,65.5064
3.1,-22.937,50.7763
3.2,-27.961,41.1795
3.3,-32.1187,27.8998
3.4,-27.7487,16.7551
3.5,-21.884,11.2632
3.6,-17.0926,8.85435
3.7,-13.837,7.73591
3.8,-11.3,6.57504
3.9,-8.62149,5.63351
4,-5.76038,5.31981
4.1,-2.84866,5.82605
4.2,0.00115932,7.55254
4.3,1.91459,11.4019
4.4,-0.87853,16.3159
4.5,-5.50727,15.0025
4.6,-5.83354,13.4082
4.7,-7.29851,12.3955
4.8,-6.76616,9.68219
4.9,-4.17441,9.31599
5,-3.1728,12.006
5.1,-6.25844,13.3722
5.2,-7.51635,11.0469
5.3,-6.66312,10.8901
5.4,-8.4609,11.1455
5.5,-8.88329,8.83651
5.6,-7.76086,8.66801
5.7,-9.35954,9.22169
5.8,-10.6146,6.51314
5.9,-9.36178,4.3202
6,-7.74011,3.48934
