199.13044630169782, 320698.9669602793
500.1078596881721, 839035.7924524061
979.3613332090821, 1460945.9416553557
1992.9428566228364, 2634703.2509555407
4916.601007525116, 4921224.423897834
9824.441897918377, 6893100.875863475
19642.915092122184, 8390357.924524061
49500.74042203502, 9723102.813046832
99035.38329766245, 10141391.788575685
198185.1591245508, 10000000
245003.54287468892, 9723102.813046832
327159.21623753785, 9387738.327022271
396680.7881688314, 9387738.327022271
499916.9323744077, 9192097.752027724
