x, y
20.0147, 153218.33353
45.05825, 46779.59927
76.67227, 19414.91946
109.36747, 10397.98418
129.55011, 7375.58734
159.71778, 4966.44005
199.70912, 3077.05737
299.29519, 1417.13893
